PDGnumb,PosX,PosY,PosZ,Momentum[GeV],theta,phi
13,-99.5354,248.392,1400,2.96866,2.62833,2.71727
-13,-409.396,177.056,1400,2.37508,2.86173,1.77966
-13,-129.835,-254.433,1400,6.40046,2.43422,1.35882
13,39.982,-474.986,1400,8.75344,2.44992,0.520362
13,-147.788,168.133,1400,4.71693,2.47605,5.04296
13,456.854,369.502,1400,4.74777,2.61624,4.12685
-13,-306.286,-333.458,1400,2.89178,2.44422,3.51818
-13,283.133,-34.976,1400,0.838944,2.27286,1.63594
-13,-460.743,-204.479,1400,7.85519,2.88971,1.69216
13,365.665,-426.032,1400,1.41842,2.76722,2.68161
13,105.679,-43.017,1400,0.405457,2.84445,2.44904
-13,313.193,146.243,1400,1.10855,2.7364,5.88194
-13,317.204,24.9906,1400,4.69013,2.30073,3.01302
13,-138.493,167.271,1400,21.8517,2.62476,4.68696
13,184.15,225.262,1400,4.07449,2.432,6.26571
13,-265.509,-435.113,1400,0.720029,2.54273,4.013
13,136.277,-469.909,1400,14.7085,2.74197,1.86715
-13,-229.549,496.222,1400,1.66637,2.86715,5.17136
-13,-45.2509,-260.689,1400,0.211445,2.6802,2.05609
13,-451.448,-369.376,1400,2.32675,2.82488,6.2017
13,232.253,95.1356,1400,0.830124,2.75436,5.08928
-13,-146.51,255.002,1400,1.42525,2.7919,4.14159
-13,141.241,-198.553,1400,2.34086,2.98257,6.20627
-13,491.814,-399.702,1400,0.722962,2.53222,3.47694
-13,-383.609,227.662,1400,0.76573,2.12759,5.54779
-13,235.69,377.248,1400,8.10654,2.00392,6.03301
-13,487.47,-122.431,1400,0.346883,2.92718,6.23857
13,-48.2362,483.334,1400,2.53823,2.47146,5.45344
13,-316.745,-427.865,1400,5.37094,2.40659,2.6029
-13,84.4747,99.9975,1400,1.40535,2.17484,2.94555
13,-409.454,-276.206,1400,1.24011,2.74391,6.03473
-13,-232.601,-11.2804,1400,8.04324,2.77416,1.76389
-13,333.207,145.159,1400,2.33301,2.3253,0.155577
-13,422.763,-239.196,1400,3.12319,2.64203,3.07019
13,84.116,493.884,1400,0.192731,2.30889,5.84919
-13,-469.771,-416.673,1400,0.652946,2.61876,3.9003
-13,112.166,-60.0379,1400,8.77238,2.27665,2.41084
13,218.146,-128.905,1400,0.490101,2.91333,2.76191
13,279.538,-28.0615,1400,1.6403,2.42688,5.98106
13,85.5577,-313.12,1400,0.579763,2.46738,3.35482
-13,248.139,-251.873,1400,4.31312,2.55862,0.0413873
13,225.966,-121.62,1400,9.36043,1.86745,4.2196
13,-377.065,-95.042,1400,2.98364,2.98665,3.53393
13,-207.07,64.1861,1400,1.74786,2.9113,5.57278
-13,-107.59,-296.567,1400,0.515126,2.5656,5.19811
-13,279.953,361.341,1400,0.361698,2.55476,4.83922
13,239.81,-427.903,1400,0.539741,3.05397,4.18188
13,261.586,-35.9231,1400,0.649471,2.40782,3.65192
13,-169.141,-61.5225,1400,0.401541,2.89218,3.84528
13,-462.945,472.491,1400,0.663651,2.6067,5.62606
13,357.881,-365.601,1400,0.71926,2.46506,3.59598
13,-488.5,-74.6415,1400,0.474048,2.75665,0.0259162
13,-256.524,273.067,1400,1.64601,2.61608,0.94971
13,230.58,141.527,1400,1.19304,2.34474,4.9984
-13,-396.2,68.6877,1400,3.48105,2.54308,2.20057
13,-490.202,208.04,1400,43.0692,2.47158,2.6092
-13,-484.508,-236.529,1400,0.235303,2.57423,1.81264
-13,419.694,35.3242,1400,36.5621,2.49102,5.52721
-13,-369.27,-329.772,1400,0.127825,2.34281,0.561708
-13,351.593,396.756,1400,3.42016,2.55888,1.08014
-13,350.186,-78.131,1400,1.65865,2.54359,1.13712
13,-1.58449,10.2436,1400,0.208132,2.8961,3.01564
-13,-319.204,-288.149,1400,33.3612,2.33243,4.79117
