event_no,PDGnumb,PosX,PosY,PosZ,time,volume_ref,volume_no
7677,13,206.906,-235.627,1250.5,0.522924,1,3
7677,13,193.008,-237.619,1200.5,0.696675,1,2
7677,13,179.069,-239.635,1150.5,0.870466,1,1
7677,13,165.128,-241.676,1100.5,1.04426,1,0
7677,13,-438.541,-257.101,-1099.5,8.73082,0,0
7677,13,-452.246,-254.047,-1149.5,8.90809,0,1
7677,13,-466.193,-251.193,-1199.5,9.08554,0,2
7677,13,-480.12,-248.316,-1249.5,9.26298,0,3
7677,13,-493.954,-245.346,-1299.5,9.44036,0,4
7679,13,323.708,118.314,1300.5,0.361383,1,4
7679,13,330.609,137.205,1250.5,0.541166,1,3
7679,13,337.503,156.089,1200.5,0.720938,1,2
7679,13,344.415,174.965,1150.5,0.900709,1,1
7679,13,351.331,193.836,1100.5,1.08047,1,0
7680,13,197.214,-196.404,1300.5,1.28084,1,4
7680,13,378.047,-160.711,1250.5,1.91789,1,3
7681,-13,-18.1408,268.233,1300.5,0.371341,1,4
7681,-13,1.581,255.175,1250.5,0.556098,1,3
7681,-13,21.3226,242.071,1200.5,0.740918,1,2
7681,-13,41.0562,228.957,1150.5,0.925733,1,1
7681,-13,60.8045,215.788,1100.5,1.11061,1,0
7682,-13,-420.615,365.649,1300.5,0.36343,1,4
7682,-13,-439.157,375.33,1250.5,0.544274,1,3
7682,-13,-457.682,385.029,1200.5,0.725108,1,2
7682,-13,-476.199,394.711,1150.5,0.905924,1,1
7682,-13,-494.694,404.419,1100.5,1.08673,1,0
7683,-13,-286.294,103.039,1300.5,0.424608,1,4
7683,-13,-309.586,71.9234,1250.5,0.635854,1,3
7683,-13,-332.876,40.8093,1200.5,0.847096,1,2
7683,-13,-356.166,9.69472,1150.5,1.05834,1,1
7683,-13,-379.455,-21.4199,1100.5,1.26958,1,0
7684,13,71.7781,-273.22,1300.5,0.677596,1,4
7684,13,21.024,-203.306,1250.5,1.00806,1,3
7684,13,20.8535,-203.071,1250.33,1.01365,1,3
7684,13,-29.3007,-133.636,1200.5,1.3484,1,2
7684,13,-79.6244,-63.974,1150.5,1.68318,1,1
7684,13,-130.07,5.41875,1100.5,2.01751,1,0
7685,-13,-274.584,-445.342,1300.5,0.461415,1,4
7685,-13,-318.858,-461.823,1250.5,0.690912,1,3
7685,-13,-363.103,-478.294,1200.5,0.92034,1,2
7685,-13,-407.372,-494.764,1150.5,1.14982,1,1
7686,13,202.855,-335.931,1300.5,0.427174,1,4
7686,13,210.268,-297.178,1250.5,0.639761,1,3
7686,13,217.717,-258.411,1200.5,0.852389,1,2
7686,13,225.15,-219.651,1150.5,1.065,1,1
7686,13,232.575,-180.895,1100.5,1.27759,1,0
7687,-13,-391.341,345.276,1300.5,0.343326,1,4
7687,-13,-394.793,355.263,1250.5,0.514156,1,3
7687,-13,-398.24,365.26,1200.5,0.684991,1,2
7687,-13,-401.724,375.289,1150.5,0.855856,1,1
7687,-13,-405.169,385.302,1100.5,1.0267,1,0
7689,-13,-371.722,-318.836,1300.5,0.343223,1,4
7689,-13,-363.839,-312.421,1250.5,0.514014,1,3
7689,-13,-355.907,-306.138,1200.5,0.684775,1,2
7689,-13,-348.066,-299.903,1150.5,0.855468,1,1
7689,-13,-340.21,-293.723,1100.5,1.02615,1,0
7689,-13,136.981,134.242,-1099.5,8.77919,0,0
7689,-13,149.197,150.706,-1149.5,8.96654,0,1
7689,-13,161.435,166.99,-1199.5,9.15373,0,2
7689,-13,173.94,183.358,-1249.5,9.34125,0,3
7689,-13,186.413,199.873,-1299.5,9.52891,0,4
7690,-13,-371.654,-296.018,1300.5,0.952563,1,4
7690,-13,-371.54,-295.63,1299.75,0.955234,1,4
7690,-13,-359.236,-265.191,1250.5,1.51066,1,3
7690,-13,-359.11,-264.884,1249.99,1.51566,1,3
7690,-13,-359.008,-264.653,1249.56,1.51643,1,3
