event_no,X,Y,Z,angle
152.0,-166.8530628341323,-17.29879933902865,-34.836042955177845,0.029740669799908664
153.0,0.0,0.0,0.0,0.0
154.0,0.0,0.0,0.0,0.0
155.0,0.0,0.0,0.0,0.0
156.0,0.0,0.0,0.0,0.0
157.0,0.0,0.0,0.0,0.0
158.0,578.6156954452468,-317.2383305810677,5584.473117978159,0.0082753214243427
159.0,0.0,0.0,0.0,0.0
160.0,0.0,0.0,0.0,0.0
161.0,0.0,0.0,0.0,0.0
162.0,0.0,0.0,0.0,0.0
163.0,0.0,0.0,0.0,0.0
164.0,0.0,0.0,0.0,0.0
165.0,0.0,0.0,0.0,0.0
166.0,0.0,0.0,0.0,0.0
167.0,0.0,0.0,0.0,0.0
168.0,216.0481218281616,-230.15409075365054,-64.73974173133746,0.06650832534717625
169.0,-6913.969831386961,-463.3552100484362,-16271.403133086216,0.010840478864005234
170.0,0.0,0.0,0.0,0.0
171.0,-593.4503203807996,405.6173691201376,50.13496711441758,0.037442952958931235
172.0,-92.91331381519697,273.8081448948416,298.65569019707414,0.027810345453316287
173.0,0.0,0.0,0.0,0.0
174.0,0.0,0.0,0.0,0.0
175.0,0.0,0.0,0.0,0.0
176.0,0.0,0.0,0.0,0.0
177.0,0.0,0.0,0.0,0.0
178.0,0.0,0.0,0.0,0.0
179.0,-199.61067552066854,548.5405907562538,-415.17640712345263,0.009287510653102765
180.0,0.0,0.0,0.0,0.0
181.0,0.0,0.0,0.0,0.0
182.0,0.0,0.0,0.0,0.0
183.0,-135.49607695310908,-339.80847454337595,-892.3776478699831,0.00835135995469459
184.0,0.0,0.0,0.0,0.0
185.0,0.0,0.0,0.0,0.0
186.0,0.0,0.0,0.0,0.0
187.0,0.0,0.0,0.0,0.0
188.0,0.0,0.0,0.0,0.0
189.0,0.0,0.0,0.0,0.0
190.0,373.6911320767009,-510.14480503781976,-456.9395032198191,0.020953585605498624
191.0,648.396259464902,-509.97120770861613,-727.0344610163364,0.019221850966819207
192.0,0.0,0.0,0.0,0.0
193.0,-106.33738411488729,-275.42692842185284,-265.9415821765148,0.027922253880187473
194.0,0.0,0.0,0.0,0.0
195.0,0.0,0.0,0.0,0.0
196.0,-355.00234321407197,466.1317041845838,-596.7889615690291,0.12202915048678813
197.0,0.0,0.0,0.0,0.0
198.0,0.0,0.0,0.0,0.0
199.0,0.0,0.0,0.0,0.0
200.0,0.0,0.0,0.0,0.0
201.0,0.0,0.0,0.0,0.0
202.0,-367.8185188674215,338.3888935443036,39.453358070340755,0.014002082260144657
203.0,0.0,0.0,0.0,0.0
204.0,0.0,0.0,0.0,0.0
205.0,0.0,0.0,0.0,0.0
206.0,0.0,0.0,0.0,0.0
207.0,0.0,0.0,0.0,0.0
208.0,0.0,0.0,0.0,0.0
209.0,0.0,0.0,0.0,0.0
210.0,181.5711950674842,-389.853045507002,300.26701048930215,0.08638288318539455
211.0,0.0,0.0,0.0,0.0
212.0,0.0,0.0,0.0,0.0
213.0,0.0,0.0,0.0,0.0
214.0,0.0,0.0,0.0,0.0
215.0,85.87504468308353,-378.5183857717901,83.01309471789915,0.03587507627170913
216.0,0.0,0.0,0.0,0.0
217.0,0.0,0.0,0.0,0.0
218.0,0.0,0.0,0.0,0.0
219.0,0.0,0.0,0.0,0.0
220.0,0.0,0.0,0.0,0.0
221.0,0.0,0.0,0.0,0.0
222.0,-798.0230844129617,162.3753779166292,-1609.2750288869438,0.05733089032263762
223.0,0.0,0.0,0.0,0.0
